COURSE CODE,TITLE,LOCAL CREDIT,ECTS CREDIT,REMAINING / TOTAL QUOTA,CAMPUS,CLASSROOM(S),INSTRUCTOR NAME,INSTRUCTOR SURNAME,ASSISTANT,TIME SLOT,FACULTY NAME,COURSE HOUR(S),LIVE SECTION
ENTA3301.3,Industrial Design Studio II (4),4,8,0 / 1,Şile,"D/K-306, D/K-306, D/K-306, D/K-306, D/K-306, D/K-306, D/K-306, D/K-306",NURHAN,YILMAZ BORAND,STAFF,"Salı 08:30 - 09:20, Salı 09:30 - 10:20, Salı 11:30 - 12:20, Salı 12:30 - 13:20, Salı 13:30 - 14:20, Salı 14:30 - 15:20, Salı 15:30 - 16:20, Salı 16:30 - 17:20","Faculty of Arts, Design and Architecture",8,NO
ENTA3301.4,Industrial Design Studio II (4),4,8,0 / 2,Şile,"D/K-308, D/K-308, D/K-308, D/K-308, D/K-308, D/K-308, D/K-308, D/K-308",ÖZCAN,MENEKŞE,STAFF,"Salı 08:30 - 09:20, Salı 09:30 - 10:20, Salı 11:30 - 12:20, Salı 12:30 - 13:20, Salı 13:30 - 14:20, Salı 14:30 - 15:20, Salı 15:30 - 16:20, Salı 16:30 - 17:20","Faculty of Arts, Design and Architecture",8,NO
ENTA3302.1,Industrial Design Studio III (4),4,10,0 / 4,Şile,"D/K-212, D/K-212, D/K-212, D/K-212, D/K-212, D/K-212, D/K-212, D/K-212",SİNEM BAHAR,TUNÇELLİ,STAFF,"Salı 08:30 - 09:20, Salı 09:30 - 10:20, Salı 11:30 - 12:20, Salı 12:30 - 13:20, Salı 13:30 - 14:20, Salı 14:30 - 15:20, Salı 15:30 - 16:20, Salı 16:30 - 17:20","Faculty of Arts, Design and Architecture",8,NO
ENTA3302.2,Industrial Design Studio III (4),4,10,0 / 5,Şile,"D/K-208, D/K-208, D/K-208, D/K-208, D/K-208, D/K-208, D/K-208, D/K-208",ETHEM HÜRSU,ÖKE,STAFF,"Salı 08:30 - 09:20, Salı 09:30 - 10:20, Salı 11:30 - 12:20, Salı 12:30 - 13:20, Salı 13:30 - 14:20, Salı 14:30 - 15:20, Salı 15:30 - 16:20, Salı 16:30 - 17:20","Faculty of Arts, Design and Architecture",8,NO
ENTA3302.3,Industrial Design Studio III (4),4,10,0 / 4,Şile,"D/K-214, D/K-214, D/K-214, D/K-214, D/K-214, D/K-214, D/K-214, D/K-214",NURHAN,YILMAZ BORAND,STAFF,"Salı 08:30 - 09:20, Salı 09:30 - 10:20, Salı 11:30 - 12:20, Salı 12:30 - 13:20, Salı 13:30 - 14:20, Salı 14:30 - 15:20, Salı 15:30 - 16:20, Salı 16:30 - 17:20","Faculty of Arts, Design and Architecture",8,NO
ENTA3302.4,Industrial Design Studio III (4),4,10,4 / 4,Şile,"D/K-302, D/K-302, D/K-302, D/K-302, D/K-302, D/K-302, D/K-302, D/K-302",ÖZCAN,MENEKŞE,STAFF,"Salı 08:30 - 09:20, Salı 09:30 - 10:20, Salı 11:30 - 12:20, Salı 12:30 - 13:20, Salı 13:30 - 14:20, Salı 14:30 - 15:20, Salı 15:30 - 16:20, Salı 16:30 - 17:20","Faculty of Arts, Design and Architecture",8,NO
ENTA3509.1,Product Analysis (3),3,5,0 / 11,Şile,"D/K-205, D/K-205",KENAN,DÖNMEZ,STAFF,"Çarşamba 13:30 - 14:20, Çarşamba 14:30 - 15:20","Faculty of Arts, Design and Architecture",2,NO
ENTA3509-L.1,Product Analysis,0,0,0 / 11,Şile,"D/K-205, D/K-205",KENAN,DÖNMEZ,STAFF,"Çarşamba 15:30 - 16:20, Çarşamba 16:30 - 17:20","Faculty of Arts, Design and Architecture",2,NO
ENTA3510.1,Anthropology for Design (3),3,5,0 / 14,Online,"ONLINE, ONLINE",ABDURRAHMAN,YILMAZ,STAFF,,"Faculty of Arts, Design and Architecture",2,NO
ENTA3510-L.1,Anthropology for Design,0,0,0 / 14,Online,"ONLINE, ONLINE",ABDURRAHMAN,YILMAZ,STAFF,,"Faculty of Arts, Design and Architecture",2,NO
ENTA3602.1,Product Design From Sci-Fi To Future Reality (3),3,5,0 / 11,Şile,"D/K-207, D/K-207, D/K-207, D/K-207",ETHEM HÜRSU,ÖKE,STAFF,"Çarşamba 13:30 - 14:20, Çarşamba 14:30 - 15:20, Çarşamba 15:30 - 16:20, Çarşamba 16:30 - 17:20","Faculty of Arts, Design and Architecture",4,NO
ENTA3607.1,Display Design (3),3,5,10 / 10,Online,"ONLINE, ONLINE",DAMLA,ÇAĞAL TAŞDELEN,STAFF,,"Faculty of Arts, Design and Architecture",2,NO
ENTA3607-L.1,Display Design,0,0,10 / 10,Online,"ONLINE, ONLINE",DAMLA,ÇAĞAL TAŞDELEN,STAFF,,"Faculty of Arts, Design and Architecture",2,NO
ENTA4504.1,Introduction to Service Design (3),3,5,0 / 11,Şile,"D/K-101, D/K-101",SİNEM BAHAR,TUNÇELLİ,STAFF,"Pazartesi 08:30 - 09:20, Pazartesi 09:30 - 10:20","Faculty of Arts, Design and Architecture",2,NO
ENTA4504-L.1,Introduction to Service Design,0,0,0 / 11,Şile,"D/K-101, D/K-101",SİNEM BAHAR,TUNÇELLİ,STAFF,"Pazartesi 11:30 - 12:20, Pazartesi 12:30 - 13:20","Faculty of Arts, Design and Architecture",2,NO
ENTA4602.1,Design Theories (3),3,5,0 / 17,Online,"ONLINE, ONLINE, ONLINE",DAMLA,ÇAĞAL TAŞDELEN,STAFF,,"Faculty of Arts, Design and Architecture",3,NO
FREN1101.1,Elementary French 1 (3),3,5,1 / 25,Şile,"-, -, -, -",PINAR,SEZER,STAFF,"Cuma 08:30 - 09:20, Cuma 09:30 - 10:20, Cuma 11:30 - 12:20, Cuma 12:30 - 13:20",School of Foreign Languages,4,NO
FREN1101.2,Elementary French 1 (3),3,5,0 / 25,Şile,"-, -, -, -",PINAR,SEZER,STAFF,"Cuma 13:30 - 14:20, Cuma 14:30 - 15:20, Cuma 15:30 - 16:20, Cuma 16:30 - 17:20",School of Foreign Languages,4,NO
GERM1101.1,Elementary German 1 (3),3,5,0 / 20,Şile,D/K-103,GÜLSÜN,GENCER,STAFF,"Pazartesi 08:30 - 09:20, Pazartesi 09:30 - 10:20, Pazartesi 11:30 - 12:20, Pazartesi 12:30 - 13:20",School of Foreign Languages,4,NO
GERM1101.2,Elementary German 1 (3),3,5,-1 / 20,Şile,"D/K-103, D/K-103, D/K-103, D/K-103",GÜLSÜN,GENCER,STAFF,"Pazartesi 13:30 - 14:20, Pazartesi 14:30 - 15:20, Pazartesi 15:30 - 16:20, Pazartesi 16:30 - 17:20",School of Foreign Languages,4,NO
GERM1101.3,Elementary German 1 (3),3,5,1 / 20,Şile,"D/K-105, D/K-105, D/K-105, D/K-105",GÜLSÜN,GENCER,STAFF,"Salı 08:30 - 09:20, Salı 09:30 - 10:20, Salı 11:30 - 12:20, Salı 12:30 - 13:20",School of Foreign Languages,4,NO
GERM1102.1,Elementary German 2 (3),3,5,15 / 20,Şile,"-, -, -, -",GÜLSÜN,GENCER,STAFF,"Salı 13:30 - 14:20, Salı 14:30 - 15:20, Salı 15:30 - 16:20, Salı 16:30 - 17:20",School of Foreign Languages,4,NO
GIT500.1,Graduate Seminar,0,3,10 / 10,Maslak,,BANU İNANÇ,UYAN DUR,STAFF,,School of Graduate Studies,0,NO
GIT502.1,Visual Communication Design Project II (3),3,12,9 / 10,Maslak,,BANU İNANÇ,UYAN DUR,STAFF,,School of Graduate Studies,0,NO
GIT512.1,Intercative Media (3),3,7,9 / 10,Online,,BANU İNANÇ,UYAN DUR,STAFF,,School of Graduate Studies,0,YES
GIT515.1,Visual Analysis Techniques (3),3,7,14 / 15,Online,,SİBEL,TUĞAL,STAFF,,School of Graduate Studies,0,YES
GIT580.1,Term Project,0,20,19 / 20,Maslak,,BANU İNANÇ,UYAN DUR,STAFF,,School of Graduate Studies,0,NO
GIT590.1,Graduate Studies Thesis,0,60,12 / 20,Maslak,,BANU İNANÇ,UYAN DUR,STAFF,,School of Graduate Studies,0,NO
